1,"""Frank Darabont"""
2,"""Francis Ford Coppola"""
3,"""Sidney Lumet"""
4,"""Quentin Tarantino"""
5,"""Peter Jackson"""
6,"""Irvin Kershner"""
7,"""Robert Zemeckis"""
8,"""David Fincher"""
9,"""Sergio Leone"""
10,"""Akira Kurosawa"""
11,"""Lana Wachowski”"
12,"""David Fincher"""
13,"""Jonathan Demme"""
14,"""Roberto Benigni"""
15,"""George Lucas"""
16,"""Fernando Meirelles”"
17,"""Luc Besson"""
18,"""Bryan Singer"""
19,"""Steven Spielberg"""
20,"""Hayao Miyazaki"""
21,"""Tony Kaye"""
22,"""Christopher Nolan"""
23,"""Michael Curtiz"""
24,"""Frank Darabont"""
25,"""Eric Toledano”"
26,"""Charles Chaplin"""
27,"""Alfred Hitchcock"""
28,"""Roman Polanski"""
29,"""Robert Zemeckis"""
30,"""Martin Scorsese"""
31,"""James Cameron"""
32,"""Rob Minkoff”"
33,"""Stanley Kubrick"""
34,"""Ulli Lommel"""
35,"""Giuseppe Tornatore"""
36,"""Florian Henckel von Donnersmarck"""
37,"""Stanley Kubrick"""
38,"""Isao Takahata"""
39,"""Christopher Nolan"""
40,"""Sam Mendes"""
