1;Kang-ho Song
2;"""Morgan Freeman"""
3;"""James Caan"""
4;"""John Fiedler"""
5;"""Christian Bale"""
6;"""Diane Keaton"""
7;"""Emilie Schindler"""
8;"""John Travolta"""
9;"""David Aston"""
10;"""Noel Appleby"""
11;"""Carrie Fisher"""
12;"""Rebecca Williams"""
13;"""Edward Norton"""
14;"""John Bach"""
15;"""Clint Eastwood"""
16;"""Takashi Shimura"""
17;"""Hugo Weaving"""
18;"""Daniel Zacapa"""
19;"""Kasi Lemmons"""
20;"""Giustino Durano"""
21;"""Harrison Ford"""
22;"""Douglas Silva"""
23;"""Gary Oldman"""
24;"""Gabriel Byrne"""
25;"""Edward Burns"""
26;"""Miyu Irino"""
27;"""Edward Furlong"""
28;"""Claudia Cardinale"""
29;John Lithgow
30;Humphrey Bogart
31;David Morse
32;Audrey Fleurot
33;Henry Bergman
34;Karen Allen
35;James Stewart
36;Ed Stoppard
37;Florence Lee
38;Crispin Glover
39;Leonardo DiCaprio
40;Edward Furlong
41;Hugh Jackman
42;Marlon Brando
43;Jim Cummings
44;Keenan Wynn
45;Ulli Lommel
46;Henry Daniell
47;Enzo Cannavale
48;Sebastian Koch
49;Jack Nicholson
50;George Macready
51;Jamie Foxx
52;Ayano Shiraishi
53;Gary Oldman
54;Kevin Spacey
55;Billy Crudup
56;Michael Biehn
57;James Woods
58;Elsa Lanchester
59;Hubertus Bengsch
60;Dorothy Comingore
61;Eva Marie Saint
62;Emma Stone
63;Harvey Keitel
64;Carrie Fisher
65;Jared Leto
66;Frank Adu
67;Anthony Quinn
68;Gerry Robert Byrne
69;Edward G. Robinson
70;Gregory Peck
71;Ned Beatty
72;Gary Lockwood
73;Paul Newman
74;Donald O'Connor
75;Enzo Staiola
76;Jim Varney
77;Charles Chaplin
78;Christoph Waltz
79;Michael Bates
80;Kareena Kapoor
81;Graham Chapman
82;Gian Maria Volontè
83;James Cromwell
84;Jack Lemmon
85;Matt Damon
86;Setsuko Kai
87;Peyman Moaadi
88;Denholm Elliott
89;Bette Davis
90;Katie Holmes
91;Frank Vincent
92;Bruce Willis
93;Jack Lemmon
94;Humphrey Bogart
95;Joseph Cotten
96;Bahare Seddiqi
97;Jon Voight
98;James Garner
99;Hugh Jackman
100;Bill Hader
101;Hitoshi Takagi
102;Ivan Lapikov
103;Henry Bergman
104;Minoru Chiaki
105;Pablo Rago
106;Jack Hawkins
107;Jacob Tremblay
108;Lee J. Cobb
109;Edward Arnold
110;Gunnar Björnstrand
111;Harrison Ford
112;Jason Flemyng
113;Marlene Dietrich
114;Gunnar Björnstrand
115;Natalie Portman
116;Ed Harris
117;Anthony Hopkins
118;Jacob Warner
119;Leonardo DiCaprio
120;Glen Cavender
121;Sermin Hürmeriç
122;Bee Vang
123;Deepal Shaw
124;John Williams
125;John Cazale
126;John Goodman
127;Kunal Kapoor
128;Evelyn Keyes
129;Eugene Silvain
130;Chishû Ryû
131;Haley Joel Osment
132;Alexander Gould
133;Kurt Russell
134;Josh Brolin
135;J.D. Cannon
136;Craig Ferguson
137;Lucy Liu
138;Jacob Stringer
139;Eric Bana
140;Jena Malone
141;Liubomiras Laucevicius
142;Neil Patrick Harris
143;Graham Chapman
144;Claudette Colbert
145;Don Cheadle
146;Gracy Singh
147;Leonardo DiCaprio
148;Folco Lulli
149;Jerry O'Connell
150;Daniel Day-Lewis
151;Chris Hemsworth
152;Claire Maurier
153;Dharmendra
154;Hugh Keays-Byrne
155;Chiwetel Ejiofor
156;F. Murray Abraham
157;Paresh Rawal
158;Paul Newman
159;Gunnar Björnstrand
160;Franca Marzi
161;Humphrey Bogart
162;Emilio Echevarría
163;Laura Dern
164;Carrie Fisher
165;Hilary Swank
166;Karisma Kapoor
167;Ethan Hawke
168;Laura Linney
169;Hisako Kyôda
170;Chris Sarandon
171;Henry Fonda
172;Carl Weathers
173;Janet Leigh
174;Daniel Radcliffe
175;Diane Keaton
176;Paul Meurisse
177;Holmes Osborne
178;Bradley Whitford
179;Julia Stiles
180;John Goodman
181;Leonardo DiCaprio
182;Linda Hamilton
183;Frank Morgan
184;Claudia Cardinale
185;Jon Seda
186;Bill Murray
187;Marisa Berenson
188;Hubert Koundé
189;Richard Dreyfuss
190;Fredric March
191;Anthony Chau-Sang Wong
192;Idris Elba
193;Nawazuddin Siddiqui
194;John Cazale
195;Jean Martin
196;Irene Papas
197;Emma Stone
198;Johnny Depp
199;Jesse Corti
200;Joan Crawford
201;Leo G. Carroll
202;Roe-ha Kim
203;Tim Robbins
204;Marlon Brando
205;Lee J. Cobb
206;Heath Ledger
207;Robert De Niro
208;Laura Lovelace
209;Noel Appleby
210;Sala Baker
211;Harrison Ford
212;Sally Field
213;Meat Loaf
214;Sala Baker
215;Eli Wallach
216;Toshirô Mifune
217;Keanu Reeves
218;Kevin Spacey
219;Lawrence A. Bonney
220;Nicoletta Braschi
221;Mark Hamill
222;Leandro Firmino
223;Jean Reno
224;Kevin Pollak
225;Tom Hanks
226;Rumi Hiiragi
227;Edward Norton
228;Henry Fonda
229;Mackenzie Foy
230;Ingrid Bergman
231;Michael Clarke Duncan
232;François Cluzet
233;Paulette Goddard
234;Paul Freeman
235;Thelma Ritter
236;Emilia Fox
237;Harry Myers
238;Lea Thompson
239;Mark Wahlberg
240;Linda Hamilton
241;Michael Caine
242;Martin Sheen
243;Jonathan Taylor Thomas
244;Peter Sellers
245;Jack Oakie
246;Isa Danieli
247;Ulrich Mühe
248;Scatman Crothers
249;Kirk Douglas
250;Kerry Washington
251;Tsutomu Tatsumi
252;Joseph Gordon-Levitt
253;Thora Birch
254;John DiMaggio
255;Paul Reiser
256;Joe Pesci
257;Marlene Dietrich
258;Jürgen Prochnow
259;Joseph Cotten
260;James Mason
261;Ryan Gosling
262;Michael Madsen
263;Harrison Ford
264;Jennifer Connelly
265;Gino Ardito
266;Jack Hawkins
267;Jim Carrey
268;Fred MacMurray
